                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.631,                 1.5697,                 1.4766,                0.43877,                0.73918,                 0.5414,                 0.3154,                 1.4614,                 5.7996,                  1.586,             0.00055111,             0.00055111,             0.00055111
                      2,                 1.3683,                 1.2213,                  1.289,                0.44361,                0.49801,                0.42504,                 0.2186,                 1.8249,                 4.5454,                 1.7155,              0.0010958,              0.0010958,              0.0010958
                      3,                 1.3285,                 1.1851,                 1.2644,                0.49042,                0.65682,                0.59091,                0.31455,                 1.6103,                  1.827,                 1.6526,              0.0016295,              0.0016295,              0.0016295
                      4,                  1.287,                 1.1515,                 1.2345,                0.71891,                0.73379,                0.77759,                0.51424,                 1.1834,                 1.3916,                 1.2869,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1816,                 1.0509,                 1.1705,                 0.7439,                0.75264,                0.81639,                0.54997,                 1.1608,                 1.1516,                 1.2405,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.1325,                0.97684,                 1.1412,                0.67186,                0.76603,                0.77717,                0.52931,                 1.1625,                 1.0543,                 1.2076,               0.001601,               0.001601,               0.001601
                      7,                 1.1118,                0.96785,                  1.129,                0.80685,                0.79296,                0.86017,                0.62983,                 1.0184,                0.90301,                 1.1108,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.1008,                0.96405,                 1.1173,                0.77867,                0.80541,                0.86782,                0.62271,                 1.0306,                0.90342,                 1.0694,               0.001568,               0.001568,               0.001568
                      9,                 1.0893,                0.97714,                 1.1179,                0.77483,                0.79164,                0.85554,                0.62781,                0.97202,                0.91316,                 1.0796,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.0534,                0.89469,                 1.0851,                0.79928,                0.83393,                0.88441,                0.66142,                0.95796,                0.84278,                 1.0325,               0.001535,               0.001535,               0.001535
                     11,                0.99801,                0.84553,                 1.0561,                0.79055,                0.82137,                0.87015,                0.64267,                0.98031,                0.88605,                  1.068,              0.0015185,              0.0015185,              0.0015185
                     12,                  1.005,                0.84248,                 1.0625,                0.80356,                0.84868,                0.88193,                0.67616,                0.89351,                0.83008,                 1.0147,               0.001502,               0.001502,               0.001502
                     13,                0.98713,                 0.8175,                 1.0475,                0.81123,                0.84882,                0.88442,                0.65714,                0.96116,                0.79746,                 1.0316,              0.0014855,              0.0014855,              0.0014855
                     14,                0.95997,                0.79162,                   1.04,                 0.8547,                0.83346,                0.89451,                 0.6859,                0.92363,                 0.7948,                 1.0175,               0.001469,               0.001469,               0.001469
                     15,                0.95267,                0.78482,                 1.0361,                0.82804,                0.82766,                0.88388,                0.64857,                 1.0208,                0.79463,                 1.0645,              0.0014525,              0.0014525,              0.0014525
